Date,Predicted Spending
2023-08-02,236.28274964714186
2023-08-03,239.20992854622443
2023-08-04,242.13710744530698
2023-08-05,245.06428634438956
2023-08-06,247.99146524347213
2023-08-07,250.9186441425547
2023-08-08,253.84582304163726
2023-08-09,256.77300194071984
2023-08-10,259.70018083980244
2023-08-11,262.62735973888493
2023-08-12,265.55453863796754
2023-08-13,268.48171753705014
2023-08-14,271.4088964361327
2023-08-15,274.33607533521524
2023-08-16,277.26325423429785
2023-08-17,280.1904331333804
2023-08-18,283.11761203246294
2023-08-19,286.04479093154555
2023-08-20,288.9719698306281
2023-08-21,291.89914872971065
2023-08-22,294.82632762879325
2023-08-23,297.75350652787586
2023-08-24,300.68068542695835
2023-08-25,303.60786432604095
2023-08-26,306.53504322512356
2023-08-27,309.46222212420605
2023-08-28,312.38940102328866
2023-08-29,315.31657992237126
2023-08-30,318.24375882145375
2023-08-31,321.17093772053636
2023-09-01,248.26702540578688
2023-09-02,251.19420430486946
2023-09-03,254.12138320395204
2023-09-04,257.04856210303456
2023-09-05,259.97574100211716
2023-09-06,262.90291990119977
2023-09-07,265.83009880028226
2023-09-08,268.75727769936486
2023-09-09,271.68445659844747
2023-09-10,274.61163549753
2023-09-11,277.53881439661257
2023-09-12,280.46599329569517
2023-09-13,283.3931721947777
2023-09-14,286.32035109386027
2023-09-15,289.2475299929429
2023-09-16,292.1747088920254
2023-09-17,295.10188779110797
2023-09-18,298.0290666901906
2023-09-19,300.9562455892731
2023-09-20,303.8834244883557
2023-09-21,306.8106033874383
2023-09-22,309.7377822865208
2023-09-23,312.6649611856034
2023-09-24,315.592140084686
2023-09-25,318.5193189837686
2023-09-26,321.4464978828511
2023-09-27,324.3736767819337
2023-09-28,327.3008556810163
2023-09-29,330.22803458009884
2023-09-30,333.1552134791814
2023-10-01,263.1784800635145
2023-10-02,266.1056589625971
2023-10-03,269.0328378616796
2023-10-04,271.9600167607622
2023-10-05,274.8871956598448
2023-10-06,277.8143745589273
2023-10-07,280.7415534580099
2023-10-08,283.6687323570925
2023-10-09,286.59591125617504
2023-10-10,289.5230901552576
2023-10-11,292.4502690543402
2023-10-12,295.37744795342275
2023-10-13,298.3046268525053
2023-10-14,301.2318057515879
2023-10-15,304.15898465067045
2023-10-16,307.086163549753
2023-10-17,310.0133424488356
2023-10-18,312.94052134791815
2023-10-19,315.8677002470007
2023-10-20,318.7948791460833
2023-10-21,321.7220580451659
2023-10-22,324.6492369442484
2023-10-23,327.576415843331
2023-10-24,330.5035947424136
2023-10-25,333.43077364149616
2023-10-26,336.3579525405787
2023-10-27,339.2851314396613
2023-10-28,342.21231033874386
2023-10-29,345.1394892378264
2023-10-30,348.066668136909
2023-10-31,350.99384703599156
2023-11-01,278.0899347212421
2023-11-02,281.0171136203246
2023-11-03,283.9442925194072
2023-11-04,286.8714714184898
2023-11-05,289.79865031757237
2023-11-06,292.7258292166549
2023-11-07,295.6530081157375
2023-11-08,298.58018701482007
2023-11-09,301.5073659139026
2023-11-10,304.4345448129852
2023-11-11,307.36172371206777
2023-11-12,310.2889026111503
2023-11-13,313.2160815102329
2023-11-14,316.1432604093155
2023-11-15,319.070439308398
2023-11-16,321.9976182074806
2023-11-17,324.9247971065632
2023-11-18,327.8519760056457
2023-11-19,330.77915490472833
2023-11-20,333.70633380381094
2023-11-21,336.6335127028934
2023-11-22,339.56069160197603
2023-11-23,342.48787050105864
2023-11-24,345.41504940014113
2023-11-25,348.34222829922373
2023-11-26,351.26940719830634
2023-11-27,354.1965860973889
2023-11-28,357.12376499647144
2023-11-29,360.05094389555404
2023-11-30,362.9781227946366
2023-12-01,293.00138937896963
2023-12-02,295.92856827805224
2023-12-03,298.85574717713484
2023-12-04,301.7829260762174
2023-12-05,304.71010497529994
2023-12-06,307.63728387438255
2023-12-07,310.5644627734651
2023-12-08,313.49164167254764
2023-12-09,316.41882057163025
2023-12-10,319.3459994707128
2023-12-11,322.27317836979535
2023-12-12,325.20035726887795
2023-12-13,328.1275361679605
2023-12-14,331.05471506704305
2023-12-15,333.98189396612565
2023-12-16,336.90907286520826
2023-12-17,339.83625176429075
2023-12-18,342.76343066337336
2023-12-19,345.69060956245596
2023-12-20,348.61778846153845
2023-12-21,351.54496736062106
2023-12-22,354.47214625970366
2023-12-23,357.3993251587862
2023-12-24,360.32650405786876
2023-12-25,363.25368295695137
2023-12-26,366.1808618560339
2023-12-27,369.10804075511646
2023-12-28,372.03521965419907
2023-12-29,374.9623985532817
2023-12-30,377.88957745236416
2023-12-31,380.81675635144677
