Date,Predicted Spending
2023-01-01,128.9753881439661
2023-01-02,131.90256704304866
2023-01-03,134.82974594213124
2023-01-04,137.75692484121382
2023-01-05,140.6841037402964
2023-01-06,143.61128263937894
2023-01-07,146.53846153846152
2023-01-08,149.4656404375441
2023-01-09,152.39281933662664
2023-01-10,155.31999823570922
2023-01-11,158.2471771347918
2023-01-12,161.17435603387435
2023-01-13,164.10153493295692
2023-01-14,167.0287138320395
2023-01-15,169.95589273112208
2023-01-16,172.88307163020465
2023-01-17,175.8102505292872
2023-01-18,178.73742942836978
2023-01-19,181.66460832745236
2023-01-20,184.5917872265349
2023-01-21,187.5189661256175
2023-01-22,190.44614502470006
2023-01-23,193.37332392378264
2023-01-24,196.3005028228652
2023-01-25,199.22768172194776
2023-01-26,202.15486062103034
2023-01-27,205.08203952011291
2023-01-28,208.00921841919546
2023-01-29,210.93639731827807
2023-01-30,213.86357621736062
2023-01-31,216.7907551164432
2023-02-01,143.8868428016937
2023-02-02,146.81402170077627
2023-02-03,149.74120059985884
2023-02-04,152.66837949894142
2023-02-05,155.59555839802397
2023-02-06,158.52273729710654
2023-02-07,161.44991619618912
2023-02-08,164.37709509527167
2023-02-09,167.30427399435425
2023-02-10,170.23145289343682
2023-02-11,173.15863179251937
2023-02-12,176.08581069160198
2023-02-13,179.01298959068453
2023-02-14,181.9401684897671
2023-02-15,184.86734738884968
2023-02-16,187.79452628793223
2023-02-17,190.7217051870148
2023-02-18,193.64888408609738
2023-02-19,196.57606298517993
2023-02-20,199.50324188426254
2023-02-21,202.43042078334508
2023-02-22,205.35759968242763
2023-02-23,208.28477858151024
2023-02-24,211.2119574805928
2023-02-25,214.13913637967536
2023-02-26,217.06631527875794
2023-02-27,219.9934941778405
2023-02-28,222.92067307692307
2023-03-01,158.7982974594213
2023-03-02,161.72547635850387
2023-03-03,164.65265525758645
2023-03-04,167.579834156669
2023-03-05,170.50701305575157
2023-03-06,173.43419195483415
2023-03-07,176.3613708539167
2023-03-08,179.2885497529993
2023-03-09,182.21572865208185
2023-03-10,185.14290755116443
2023-03-11,188.070086450247
2023-03-12,190.99726534932955
2023-03-13,193.92444424841213
2023-03-14,196.8516231474947
2023-03-15,199.77880204657725
2023-03-16,202.70598094565983
2023-03-17,205.6331598447424
2023-03-18,208.56033874382496
2023-03-19,211.48751764290756
2023-03-20,214.4146965419901
2023-03-21,217.3418754410727
2023-03-22,220.26905434015526
2023-03-23,223.1962332392378
2023-03-24,226.1234121383204
2023-03-25,229.05059103740297
2023-03-26,231.97776993648552
2023-03-27,234.90494883556812
2023-03-28,237.83212773465067
2023-03-29,240.75930663373325
2023-03-30,243.6864855328158
2023-03-31,246.61366443189837
2023-04-01,173.7097521171489
2023-04-02,176.63693101623147
2023-04-03,179.56410991531402
2023-04-04,182.4912888143966
2023-04-05,185.41846771347917
2023-04-06,188.34564661256172
2023-04-07,191.27282551164433
2023-04-08,194.20000441072688
2023-04-09,197.12718330980945
2023-04-10,200.05436220889203
2023-04-11,202.98154110797458
2023-04-12,205.90872000705716
2023-04-13,208.83589890613973
2023-04-14,211.76307780522228
2023-04-15,214.69025670430486
2023-04-16,217.61743560338743
2023-04-17,220.54461450247
2023-04-18,223.4717934015526
2023-04-19,226.39897230063514
2023-04-20,229.3261511997177
2023-04-21,232.2533300988003
2023-04-22,235.18050899788284
2023-04-23,238.10768789696542
2023-04-24,241.034866796048
2023-04-25,243.96204569513057
2023-04-26,246.88922459421312
2023-04-27,249.8164034932957
2023-04-28,252.74358239237827
2023-04-29,255.67076129146085
2023-04-30,258.5979401905434
2023-05-01,188.6212067748765
2023-05-02,191.54838567395905
2023-05-03,194.47556457304162
2023-05-04,197.4027434721242
2023-05-05,200.32992237120678
2023-05-06,203.25710127028935
2023-05-07,206.1842801693719
2023-05-08,209.11145906845448
2023-05-09,212.03863796753706
2023-05-10,214.9658168666196
2023-05-11,217.89299576570218
2023-05-12,220.82017466478476
2023-05-13,223.7473535638673
2023-05-14,226.6745324629499
2023-05-15,229.60171136203246
2023-05-16,232.52889026111504
2023-05-17,235.45606916019761
2023-05-18,238.38324805928016
2023-05-19,241.31042695836274
2023-05-20,244.23760585744532
2023-05-21,247.1647847565279
2023-05-22,250.09196365561044
2023-05-23,253.01914255469302
2023-05-24,255.9463214537756
2023-05-25,258.8735003528582
2023-05-26,261.8006792519407
2023-05-27,264.72785815102327
2023-05-28,267.6550370501059
2023-05-29,270.5822159491885
2023-05-30,273.509394848271
2023-05-31,276.4365737473536
2023-06-01,203.53266143260407
2023-06-02,206.45984033168668
2023-06-03,209.38701923076923
2023-06-04,212.3141981298518
2023-06-05,215.24137702893438
2023-06-06,218.16855592801693
2023-06-07,221.0957348270995
2023-06-08,224.02291372618208
2023-06-09,226.95009262526463
2023-06-10,229.8772715243472
2023-06-11,232.80445042342978
2023-06-12,235.73162932251233
2023-06-13,238.65880822159494
2023-06-14,241.5859871206775
2023-06-15,244.51316601976006
2023-06-16,247.44034491884264
2023-06-17,250.3675238179252
2023-06-18,253.29470271700777
2023-06-19,256.22188161609034
2023-06-20,259.1490605151729
2023-06-21,262.0762394142555
2023-06-22,265.00341831333805
2023-06-23,267.9305972124206
2023-06-24,270.8577761115032
2023-06-25,273.78495501058575
2023-06-26,276.7121339096683
2023-06-27,279.6393128087509
2023-06-28,282.56649170783345
2023-06-29,285.493670606916
2023-06-30,288.4208495059986
2023-07-01,218.4441160903317
2023-07-02,221.37129498941425
2023-07-03,224.29847388849683
2023-07-04,227.2256527875794
2023-07-05,230.15283168666195
